HDR,ROLLING SYSTEM DEMAND
VD,20200103125500,36404
VD,20200103130000,36356
VD,20200103130500,36453
VD,20200103131000,36392
VD,20200103131500,36364
VD,20200103132000,36305
VD,20200103132500,36290
VD,20200103133000,36197
VD,20200103133500,36123
VD,20200103134000,36017
VD,20200103134500,35996
VD,20200103135000,36071
VD,20200103135500,36035
VD,20200103140000,36021
VD,20200103140500,36169
VD,20200103141000,36317
VD,20200103141500,36360
VD,20200103142000,36226
VD,20200103142500,36125
VD,20200103143000,36283
VD,20200103143500,36415
VD,20200103144000,36403
VD,20200103144500,36433
VD,20200103145000,36617
VD,20200103145500,36755
VD,20200103150000,36883
VD,20200103150500,37017
VD,20200103151000,37074
VD,20200103151500,37154
VD,20200103152000,37234
VD,20200103152500,37287
VD,20200103153000,37437
VD,20200103153500,37623
VD,20200103154000,37847
VD,20200103154500,37981
VD,20200103155000,38190
VD,20200103155500,38443
VD,20200103160000,38653
VD,20200103160500,38955
VD,20200103161000,39052
VD,20200103161500,39402
VD,20200103162000,39897
VD,20200103162500,40232
VD,20200103163000,40527
VD,20200103163500,40862
VD,20200103164000,41354
VD,20200103164500,41688
VD,20200103165000,42071
VD,20200103165500,42309
VD,20200103170000,42453
VD,20200103170500,42679
VD,20200103171000,42773
VD,20200103171500,42826
VD,20200103172000,42993
VD,20200103172500,42961
VD,20200103173000,42877
VD,20200103173500,42849
VD,20200103174000,42864
VD,20200103174500,42857
VD,20200103175000,42748
VD,20200103175500,42407
VD,20200103180000,42298
VD,20200103180500,42199
VD,20200103181000,42125
VD,20200103181500,42015
VD,20200103182000,41902
VD,20200103182500,41812
VD,20200103183000,41716
VD,20200103183500,41686
VD,20200103184000,41636
VD,20200103184500,41401
VD,20200103185000,41319
VD,20200103185500,41206
VD,20200103190000,40968
VD,20200103190500,40815
VD,20200103191000,40632
VD,20200103191500,40456
VD,20200103192000,40301
VD,20200103192500,40097
VD,20200103193000,39846
VD,20200103193500,39620
VD,20200103194000,39394
VD,20200103194500,39166
VD,20200103195000,38913
VD,20200103195500,38553
VD,20200103200000,38250
VD,20200103200500,38175
VD,20200103201000,37778
VD,20200103201500,37466
VD,20200103202000,37138
VD,20200103202500,36757
VD,20200103203000,36423
VD,20200103203500,36124
VD,20200103204000,35945
VD,20200103204500,35757
VD,20200103205000,35602
VD,20200103205500,35368
VD,20200103210000,35060
VD,20200103210500,34703
VD,20200103211000,34375
VD,20200103211500,34132
VD,20200103212000,33936
VD,20200103212500,33559
VD,20200103213000,33289
VD,20200103213500,32930
VD,20200103214000,32563
VD,20200103214500,32259
VD,20200103215000,32070
VD,20200103215500,31717
VD,20200103220000,31418
VD,20200103220500,31052
VD,20200103221000,30853
VD,20200103221500,30608
VD,20200103222000,30288
VD,20200103222500,29981
VD,20200103223000,29836
VD,20200103223500,29855
VD,20200103224000,29742
VD,20200103224500,29263
VD,20200103225000,28840
VD,20200103225500,28613
VD,20200103230000,28302
VD,20200103230500,28488
VD,20200103231000,28498
VD,20200103231500,28210
VD,20200103232000,28086
VD,20200103232500,27928
VD,20200103233000,27822
VD,20200103233500,27697
VD,20200103234000,27624
VD,20200103234500,27444
VD,20200103235000,27377
VD,20200103235500,27212
VD,20200104000000,27091
VD,20200104000500,27326
VD,20200104001000,27342
VD,20200104001500,27306
VD,20200104002000,27250
VD,20200104002500,27119
VD,20200104003000,27107
VD,20200104003500,27334
VD,20200104004000,27388
VD,20200104004500,27365
VD,20200104005000,27339
VD,20200104005500,27355
VD,20200104010000,27368
VD,20200104010500,27263
VD,20200104011000,27007
VD,20200104011500,26970
VD,20200104012000,26881
VD,20200104012500,26834
VD,20200104013000,26774
VD,20200104013500,26718
VD,20200104014000,26630
VD,20200104014500,26538
VD,20200104015000,26397
VD,20200104015500,26219
VD,20200104020000,26083
VD,20200104020500,26258
VD,20200104021000,26391
VD,20200104021500,26324
VD,20200104022000,26212
VD,20200104022500,26018
VD,20200104023000,25860
VD,20200104023500,25946
VD,20200104024000,25948
VD,20200104024500,25884
VD,20200104025000,25856
VD,20200104025500,25881
VD,20200104030000,25820
VD,20200104030500,25998
VD,20200104031000,26163
VD,20200104031500,26180
VD,20200104032000,25955
VD,20200104032500,25850
VD,20200104033000,25751
VD,20200104033500,25743
VD,20200104034000,25687
VD,20200104034500,25680
VD,20200104035000,25617
VD,20200104035500,25509
VD,20200104040000,25549
VD,20200104040500,25688
VD,20200104041000,25714
VD,20200104041500,25614
VD,20200104042000,25476
VD,20200104042500,25471
VD,20200104043000,25456
VD,20200104043500,25345
VD,20200104044000,25272
VD,20200104044500,25323
VD,20200104045000,25346
VD,20200104045500,25298
VD,20200104050000,25276
VD,20200104050500,25307
VD,20200104051000,25219
VD,20200104051500,25081
VD,20200104052000,25085
VD,20200104052500,25159
VD,20200104053000,25150
VD,20200104053500,25130
VD,20200104054000,25133
VD,20200104054500,25093
VD,20200104055000,25030
VD,20200104055500,25080
VD,20200104060000,25205
VD,20200104060500,25737
VD,20200104061000,26065
VD,20200104061500,26148
VD,20200104062000,26155
VD,20200104062500,26201
VD,20200104063000,26247
VD,20200104063500,26401
VD,20200104064000,26531
VD,20200104064500,26603
VD,20200104065000,26666
VD,20200104065500,26652
VD,20200104070000,26489
VD,20200104070500,26556
VD,20200104071000,26591
VD,20200104071500,26627
VD,20200104072000,26728
VD,20200104072500,26889
VD,20200104073000,27029
VD,20200104073500,27151
VD,20200104074000,27383
VD,20200104074500,27595
VD,20200104075000,27744
VD,20200104075500,28000
VD,20200104080000,28231
VD,20200104080500,28390
VD,20200104081000,28748
VD,20200104081500,28908
VD,20200104082000,29041
VD,20200104082500,29245
VD,20200104083000,29425
VD,20200104083500,29815
VD,20200104084000,30034
VD,20200104084500,30170
VD,20200104085000,30256
VD,20200104085500,30446
VD,20200104090000,30669
VD,20200104090500,30983
VD,20200104091000,31241
VD,20200104091500,31436
VD,20200104092000,31689
VD,20200104092500,31829
VD,20200104093000,32031
VD,20200104093500,32113
VD,20200104094000,32211
VD,20200104094500,32357
VD,20200104095000,32479
VD,20200104095500,32619
VD,20200104100000,32681
VD,20200104100500,32851
VD,20200104101000,33037
VD,20200104101500,33043
VD,20200104102000,33115
VD,20200104102500,33279
VD,20200104103000,33394
VD,20200104103500,33458
VD,20200104104000,33521
VD,20200104104500,33533
VD,20200104105000,33538
VD,20200104105500,33529
VD,20200104110000,33545
VD,20200104110500,33778
VD,20200104111000,33747
VD,20200104111500,33708
VD,20200104112000,33671
VD,20200104112500,33670
VD,20200104113000,33663
VD,20200104113500,33615
VD,20200104114000,33652
VD,20200104114500,33701
VD,20200104115000,33645
VD,20200104115500,33608
VD,20200104120000,33598
VD,20200104120500,33501
VD,20200104121000,33465
VD,20200104121500,33414
VD,20200104122000,33361
VD,20200104122500,33379
VD,20200104123000,33436
VD,20200104123500,33406
VD,20200104124000,33335
VD,20200104124500,33401
VD,20200104125000,33421
VD,20200104125500,33379
VD,20200104130000,33344
VD,20200104130500,33233
VD,20200104131000,33337
VD,20200104131500,33314
VD,20200104132000,33233
VD,20200104132500,33268
VD,20200104133000,33282
VD,20200104133500,33273
VD,20200104134000,33228
VD,20200104134500,33208
VD,20200104135000,33245
VD,20200104135500,33176
VD,20200104140000,33075
VD,20200104140500,33144
VD,20200104141000,33130
VD,20200104141500,33253
VD,20200104142000,33241
VD,20200104142500,33346
VD,20200104143000,33524
VD,20200104143500,33563
VD,20200104144000,33660
VD,20200104144500,33702
VD,20200104145000,33668
VD,20200104145500,33596
VD,20200104150000,33702
VD,20200104150500,33847
VD,20200104151000,34008
VD,20200104151500,34240
VD,20200104152000,34401
VD,20200104152500,34523
VD,20200104153000,34572
