HDR,time,demand (MW)
VD,2.02001E+13,25427
VD,2.02001E+13,25363
VD,2.02001E+13,25587
VD,2.02001E+13,25577
VD,2.02001E+13,25469
VD,2.02001E+13,25348
VD,2.02001E+13,25272
VD,2.02001E+13,25265
VD,2.02001E+13,25191
VD,2.02001E+13,25148
VD,2.02001E+13,25172
VD,2.02001E+13,25101
VD,2.02001E+13,24971
VD,2.02001E+13,24729
VD,2.02001E+13,24424
VD,2.02001E+13,24244
VD,2.02001E+13,24218
VD,2.02001E+13,24158
VD,2.02001E+13,24139
VD,2.02001E+13,24141
VD,2.02001E+13,24234
VD,2.02001E+13,24186
VD,2.02001E+13,24026
VD,2.02001E+13,23845
VD,2.02001E+13,23842
VD,2.02001E+13,23872
VD,2.02001E+13,23906
VD,2.02001E+13,23984
VD,2.02001E+13,23958
VD,2.02001E+13,23964
VD,2.02001E+13,24001
VD,2.02001E+13,24114
VD,2.02001E+13,24305
VD,2.02001E+13,24434
VD,2.02001E+13,24495
VD,2.02001E+13,24746
VD,2.02001E+13,24891
VD,2.02001E+13,25059
VD,2.02001E+13,25895
VD,2.02001E+13,26577
VD,2.02001E+13,26991
VD,2.02001E+13,27293
VD,2.02001E+13,27368
VD,2.02001E+13,27620
VD,2.02001E+13,28110
VD,2.02001E+13,28335
VD,2.02001E+13,28456
VD,2.02001E+13,28571
VD,2.02001E+13,28811
VD,2.02001E+13,29159
VD,2.02001E+13,29734
VD,2.02001E+13,30336
VD,2.02001E+13,30787
VD,2.02001E+13,31203
VD,2.02001E+13,31715
VD,2.02001E+13,31946
VD,2.02001E+13,32108
VD,2.02001E+13,32349
VD,2.02001E+13,32655
VD,2.02001E+13,33018
VD,2.02001E+13,33383
VD,2.02001E+13,33706
VD,2.02001E+13,33926
VD,2.02001E+13,34206
VD,2.02001E+13,34497
VD,2.02001E+13,34664
VD,2.02001E+13,34827
VD,2.02001E+13,34908
VD,2.02001E+13,35053
VD,2.02001E+13,35366
VD,2.02001E+13,35680
VD,2.02001E+13,36010
VD,2.02001E+13,36212
VD,2.02001E+13,36414
VD,2.02001E+13,36721
VD,2.02001E+13,36858
VD,2.02001E+13,36917
VD,2.02001E+13,37115
VD,2.02001E+13,37206
VD,2.02001E+13,37481
VD,2.02001E+13,37445
VD,2.02001E+13,37276
VD,2.02001E+13,37253
VD,2.02001E+13,37348
VD,2.02001E+13,37504
VD,2.02001E+13,37445
VD,2.02001E+13,37535
VD,2.02001E+13,37627
VD,2.02001E+13,37537
VD,2.02001E+13,37480
VD,2.02001E+13,37368
VD,2.02001E+13,37360
VD,2.02001E+13,37356
VD,2.02001E+13,37143
VD,2.02001E+13,37000
VD,2.02001E+13,37063
VD,2.02001E+13,37015
VD,2.02001E+13,36953
VD,2.02001E+13,36941
VD,2.02001E+13,36903
VD,2.02001E+13,36947
VD,2.02001E+13,36926
VD,2.02001E+13,36880
VD,2.02001E+13,36813
VD,2.02001E+13,36907
VD,2.02001E+13,36970
VD,2.02001E+13,37082
VD,2.02001E+13,37102
VD,2.02001E+13,36974
VD,2.02001E+13,36990
VD,2.02001E+13,37053
VD,2.02001E+13,37056
VD,2.02001E+13,37005
VD,2.02001E+13,36977
VD,2.02001E+13,36865
VD,2.02001E+13,36817
VD,2.02001E+13,36869
VD,2.02001E+13,36794
VD,2.02001E+13,36722
VD,2.02001E+13,36591
VD,2.02001E+13,36404
VD,2.02001E+13,36356
VD,2.02001E+13,36453
VD,2.02001E+13,36392
VD,2.02001E+13,36364
VD,2.02001E+13,36305
VD,2.02001E+13,36290
VD,2.02001E+13,36197
VD,2.02001E+13,36123
VD,2.02001E+13,36017
VD,2.02001E+13,35996
VD,2.02001E+13,36071
VD,2.02001E+13,36035
VD,2.02001E+13,36021
VD,2.02001E+13,36169
VD,2.02001E+13,36317
VD,2.02001E+13,36360
VD,2.02001E+13,36226
VD,2.02001E+13,36125
VD,2.02001E+13,36283
VD,2.02001E+13,36415
VD,2.02001E+13,36403
VD,2.02001E+13,36433
VD,2.02001E+13,36617
VD,2.02001E+13,36755
VD,2.02001E+13,36883
VD,2.02001E+13,37017
VD,2.02001E+13,37074
VD,2.02001E+13,37154
VD,2.02001E+13,37234
VD,2.02001E+13,37287
VD,2.02001E+13,37437
VD,2.02001E+13,37623
VD,2.02001E+13,37847
VD,2.02001E+13,37981
VD,2.02001E+13,38190
VD,2.02001E+13,38443
VD,2.02001E+13,38653
VD,2.02001E+13,38955
VD,2.02001E+13,39052
VD,2.02001E+13,39402
VD,2.02001E+13,39897
VD,2.02001E+13,40232
VD,2.02001E+13,40527
VD,2.02001E+13,40862
VD,2.02001E+13,41354
VD,2.02001E+13,41688
VD,2.02001E+13,42071
VD,2.02001E+13,42309
VD,2.02001E+13,42453
VD,2.02001E+13,42679
VD,2.02001E+13,42773
VD,2.02001E+13,42826
VD,2.02001E+13,42993
VD,2.02001E+13,42961
VD,2.02001E+13,42877
VD,2.02001E+13,42849
VD,2.02001E+13,42864
VD,2.02001E+13,42857
VD,2.02001E+13,42748
VD,2.02001E+13,42407
VD,2.02001E+13,42298
VD,2.02001E+13,42199
VD,2.02001E+13,42125
VD,2.02001E+13,42015
VD,2.02001E+13,41902
VD,2.02001E+13,41812
VD,2.02001E+13,41716
VD,2.02001E+13,41686
VD,2.02001E+13,41636
VD,2.02001E+13,41401
VD,2.02001E+13,41319
VD,2.02001E+13,41206
VD,2.02001E+13,40968
VD,2.02001E+13,40815
VD,2.02001E+13,40632
VD,2.02001E+13,40456
VD,2.02001E+13,40301
VD,2.02001E+13,40097
VD,2.02001E+13,39846
VD,2.02001E+13,39620
VD,2.02001E+13,39394
VD,2.02001E+13,39166
VD,2.02001E+13,38913
VD,2.02001E+13,38553
VD,2.02001E+13,38250
VD,2.02001E+13,38175
VD,2.02001E+13,37778
VD,2.02001E+13,37466
VD,2.02001E+13,37138
VD,2.02001E+13,36757
VD,2.02001E+13,36423
VD,2.02001E+13,36124
VD,2.02001E+13,35945
VD,2.02001E+13,35757
VD,2.02001E+13,35602
VD,2.02001E+13,35368
VD,2.02001E+13,35060
VD,2.02001E+13,34703
VD,2.02001E+13,34375
VD,2.02001E+13,34132
VD,2.02001E+13,33936
VD,2.02001E+13,33559
VD,2.02001E+13,33289
VD,2.02001E+13,32930
VD,2.02001E+13,32563
VD,2.02001E+13,32259
VD,2.02001E+13,32070
VD,2.02001E+13,31717
VD,2.02001E+13,31418
VD,2.02001E+13,31052
VD,2.02001E+13,30853
VD,2.02001E+13,30608
VD,2.02001E+13,30288
VD,2.02001E+13,29981
VD,2.02001E+13,29836
VD,2.02001E+13,29855
VD,2.02001E+13,29742
VD,2.02001E+13,29263
VD,2.02001E+13,28840
VD,2.02001E+13,28613
VD,2.02001E+13,28302
VD,2.02001E+13,28488
VD,2.02001E+13,28498
VD,2.02001E+13,28210
VD,2.02001E+13,28086
VD,2.02001E+13,27928
VD,2.02001E+13,27822
VD,2.02001E+13,27697
VD,2.02001E+13,27624
VD,2.02001E+13,27444
VD,2.02001E+13,27377
VD,2.02001E+13,27212
VD,2.02001E+13,27091
VD,2.02001E+13,27326
VD,2.02001E+13,27342
VD,2.02001E+13,27306
VD,2.02001E+13,27250
VD,2.02001E+13,27119
VD,2.02001E+13,27107
